Year,Employment,Labor Force,Unemployment,Unemployment Rate,Area,Type
2019.0,1432851.75,1480825.6666666667,47973.916666666664,3.233333333333333,"St. Louis, MO-IL",MSA
2020.0,1357794.8333333333,1455511.25,97716.41666666667,6.791666666666667,"St. Louis, MO-IL",MSA
2021.0,1383938.25,1445374.75,61436.5,4.258333333333334,"St. Louis, MO-IL",MSA
1990.0,57953.166666666664,60532.166666666664,2579.0,4.258333333333333,"State College, PA",MSA
1991.0,58310.583333333336,61003.5,2692.9166666666665,4.425,"State College, PA",MSA
1992.0,59478.833333333336,62267.5,2788.6666666666665,4.483333333333333,"State College, PA",MSA
1993.0,60291.583333333336,62928.166666666664,2636.5833333333335,4.191666666666666,"State College, PA",MSA
1994.0,60172.75,62467.25,2294.5,3.6833333333333336,"State College, PA",MSA
1995.0,61505.5,63629.0,2123.5,3.3499999999999996,"State College, PA",MSA
1996.0,64031.166666666664,66037.08333333333,2005.9166666666667,3.0416666666666665,"State College, PA",MSA
1997.0,64886.75,66878.41666666667,1991.6666666666667,2.975,"State College, PA",MSA
1998.0,64972.0,66853.83333333333,1881.8333333333333,2.8083333333333336,"State College, PA",MSA
1999.0,64510.0,66298.0,1788.0,2.6916666666666664,"State College, PA",MSA
2000.0,66132.91666666667,68535.83333333333,2402.9166666666665,3.5083333333333333,"State College, PA",MSA
2001.0,67930.83333333333,70600.83333333333,2670.0,3.766666666666667,"State College, PA",MSA
2002.0,68972.75,72012.33333333333,3039.5833333333335,4.233333333333333,"State College, PA",MSA
2003.0,67492.91666666667,70586.25,3093.3333333333335,4.383333333333334,"State College, PA",MSA
2004.0,68656.58333333333,71832.66666666667,3176.0833333333335,4.416666666666667,"State College, PA",MSA
2005.0,69527.58333333333,72444.66666666667,2917.0833333333335,4.033333333333333,"State College, PA",MSA
2006.0,70030.08333333333,72821.41666666667,2791.3333333333335,3.8333333333333335,"State College, PA",MSA
2007.0,71054.66666666667,73736.41666666667,2681.75,3.65,"State College, PA",MSA
2008.0,71997.5,75266.0,3268.5,4.341666666666667,"State College, PA",MSA
